frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
438,44.177,38.87,26.42,0,0.0,0.0,0.0
439,44.278,39.06,26.36,0,0.0,0.0,0.0
440,44.377,38.77,26.27,0,0.0,0.0,0.0
441,44.478,38.72,26.25,0,0.0,0.0,0.0
442,44.578,39.31,26.22,0,0.0,0.0,0.0
443,44.673,35.46,26.28,0,0.0,0.0,0.0
444,44.777,37.75,26.29,0,0.0,0.0,0.0
445,44.878,38.76,26.28,0,0.0,0.0,0.0
446,44.978,39.07,26.27,0,0.0,0.0,0.0
447,45.079,39.68,26.23,0,0.0,0.0,0.0
448,45.178,38.48,26.23,0,0.0,0.0,0.0
449,45.279,39.3,26.21,0,0.0,0.0,0.0
450,45.377,38.16,26.21,0,0.0,0.0,0.0
451,45.473,34.3,26.32,0,0.0,0.0,0.0
452,45.576,37.31,26.34,0,0.0,0.0,0.0
453,45.676,37.03,26.37,0,0.0,0.0,0.0
454,45.779,38.43,26.38,0,0.0,0.0,0.0
455,45.878,38.8,26.33,0,0.0,0.0,0.0
456,45.978,38.6,26.33,0,0.0,0.0,0.0
457,46.079,39.34,26.29,0,0.0,0.0,0.0
458,46.178,38.34,26.27,0,0.0,0.0,0.0
459,46.278,37.84,26.3,0,0.0,0.0,0.0
460,46.378,37.96,26.29,0,0.0,0.0,0.0
461,46.479,39.02,26.23,0,0.0,0.0,0.0
462,46.58,39.9,26.15,0,0.0,0.0,0.0
463,46.679,38.98,26.15,0,0.0,0.0,0.0
464,46.779,38.37,26.11,0,0.0,0.0,0.0
465,46.877,37.06,26.12,0,0.0,0.0,0.0
466,46.979,38.49,26.08,0,0.0,0.0,0.0
467,47.077,37.97,26.11,0,0.0,0.0,0.0
468,47.178,36.95,26.15,0,0.0,0.0,0.0
469,47.281,39.99,26.13,0,0.0,0.0,0.0
470,47.38,39.0,26.12,0,0.0,0.0,0.0
471,47.475,35.51,26.2,0,0.0,0.0,0.0
472,47.574,34.34,26.31,0,0.0,0.0,0.0
473,47.674,34.15,26.34,0,0.0,0.0,0.0
474,47.774,34.27,26.42,0,0.0,0.0,0.0
475,47.879,38.11,26.44,0,0.0,0.0,0.0
476,47.975,34.49,26.54,0,0.0,0.0,0.0
